timestamp,CH4Ref
2022-06-28 11:42:00,2.26
2022-06-28 12:34:00,2.2
2022-06-28 12:37:00,2.42
2022-06-28 13:06:00,3.4
2022-06-28 13:10:00,3.42
2022-06-28 15:24:00,2.17
2022-06-28 15:54:00,3.02
2022-06-28 15:54:01,3.83
2022-06-28 16:32:00,4.32
