timestamp,ADC,V,T,rH,aH,P,fanSpeed,CH4Ref,V0,Rs/R0,CH4,CH4LR,variance
2022-05-27 13:58:08.217384,28903,1.10256,6.2,98.2,0.00725,986.1,0,2.147,1.11756,1.19097,0.39,0.387,1.76
2022-05-27 13:58:45.217456,28902,1.10252,6.2,98.4,0.00728,986.1,0,2.147,1.1177,1.19328,0.361,0.359,1.79
2022-05-27 13:59:22.217560,28904,1.1026,6.2,98.2,0.00727,986.1,0,2.148,1.11765,1.1915,0.39,0.387,1.76
2022-05-27 14:02:35.151866,28910,1.10283,6.2,97.5,0.00717,986.1,0,2.2,1.11721,1.18236,0.514,0.511,1.69
2022-05-27 14:03:13.151945,28908,1.10275,6.1,97.0,0.00712,986.1,0,2.2,1.11698,1.18073,0.523,0.52,1.68
2022-05-27 14:03:51.152027,28907,1.10271,6.1,96.5,0.00707,986.1,0,2.2,1.11676,1.17851,0.54,0.537,1.66
2022-05-27 14:07:56.907553,28950,1.10435,6.1,98.8,0.00722,986.2,0,3.101,1.11743,1.16277,0.937,0.935,2.17
2022-05-27 14:08:27.907630,28954,1.10451,6.1,98.2,0.00719,986.2,0,3.113,1.11729,1.1588,1.004,1.001,2.11
2022-05-27 14:08:58.907680,28952,1.10443,6.1,97.7,0.00714,986.2,0,3.13,1.11707,1.15718,1.01,1.008,2.12
2022-05-27 14:12:22.152738,29008,1.10657,5.9,96.1,0.00694,986.2,0,4.396,1.11618,1.11642,1.815,1.812,2.58
2022-05-27 14:12:55.152780,29005,1.10645,5.8,96.1,0.00694,986.2,0,4.397,1.11618,1.11804,1.78,1.778,2.62
2022-05-27 14:13:28.152857,29006,1.10649,5.8,96.6,0.00695,986.2,0,4.396,1.11623,1.11804,1.787,1.784,2.61
2022-05-27 14:16:53.167841,29062,1.10863,5.9,98.9,0.00714,986.2,0,5.511,1.11707,1.09975,2.353,2.35,3.16
2022-05-27 14:17:26.167905,29061,1.10859,5.8,98.4,0.00709,986.2,0,5.507,1.11685,1.09764,2.379,2.377,3.13
2022-05-27 14:17:59.168019,29062,1.10863,5.8,97.9,0.00705,986.2,0,5.507,1.11667,1.09502,2.421,2.419,3.09
2022-05-27 14:21:19.315620,29112,1.11053,5.6,96.9,0.00687,986.2,0,6.787,1.11587,1.06174,3.218,3.215,3.57
2022-05-27 14:21:53.315683,29109,1.11042,5.5,97.5,0.00689,986.2,0,6.787,1.11596,1.06412,3.168,3.166,3.62
2022-05-27 14:22:27.315759,29111,1.1105,5.5,98.3,0.00694,986.2,0,6.784,1.11618,1.0657,3.158,3.156,3.63
2022-05-27 14:26:17.085002,29185,1.11332,5.7,100.0,0.00714,986.3,0,8.15,1.11707,1.04201,4.005,4.003,4.15
2022-05-27 14:26:54.085105,29187,1.1134,5.7,100.0,0.00714,986.3,0,8.149,1.11707,1.04107,4.034,4.032,4.12
2022-05-27 14:30:29.909467,29287,1.11721,5.6,97.5,0.00693,986.3,0,10.328,1.11614,0.9885,5.697,5.695,4.63
2022-05-27 14:30:59.909516,29282,1.11702,5.6,97.5,0.0069,986.4,0,10.324,1.11601,0.98909,5.648,5.646,4.68
2022-05-27 14:31:29.909604,29283,1.11706,5.5,97.7,0.0069,986.4,0,10.317,1.11601,0.98867,5.67,5.668,4.65
2022-05-27 14:35:08.062927,30212,1.1525,5.6,99.9,0.00707,986.4,0,37.387,1.11676,0.72187,25.117,25.118,12.27
2022-05-27 14:35:50.063014,30222,1.15288,5.6,99.4,0.00703,986.4,0,37.378,1.11658,0.71836,25.486,25.487,11.89
2022-05-27 14:39:39.962624,30799,1.17489,5.4,97.2,0.00683,986.3,0,60.839,1.1157,0.6077,44.947,44.951,15.89
2022-05-27 14:40:21.962725,30806,1.17516,5.4,97.3,0.00681,986.3,0,60.771,1.11561,0.60602,45.29,45.293,15.48
2022-05-27 14:44:44.810258,31223,1.19106,5.5,100.0,0.00704,986.3,0,78.896,1.11663,0.55445,61.482,61.488,17.41
2022-05-27 15:06:33.581979,29176,1.11298,10.9,100.0,0.00997,986.1,0,2.09,1.12999,1.1912,1.612,1.609,0.48
