timestamp,ADC,V,T,rH,aH,P,fanSpeed,CH4Ref,V0,Rs/R0,CH4,CH4LR,variance
2022-05-27 13:58:08.217384,28903,1.10256,6.2,98.2,0.00725,986.1,0,2.147,1.10588,1.04228,0.384,0.377,1.77
2022-05-27 13:58:45.217456,28902,1.10252,6.2,98.4,0.00728,986.1,0,2.147,1.10588,1.04281,0.345,0.338,1.81
2022-05-27 13:59:22.217560,28904,1.1026,6.2,98.2,0.00727,986.1,0,2.148,1.10588,1.04175,0.377,0.37,1.78
2022-05-27 14:02:35.151866,28910,1.10283,6.2,97.5,0.00717,986.1,0,2.2,1.10588,1.03871,0.534,0.527,1.67
2022-05-27 14:03:13.151945,28908,1.10275,6.1,97.0,0.00712,986.1,0,2.2,1.10543,1.03408,0.533,0.526,1.67
2022-05-27 14:03:51.152027,28907,1.10271,6.1,96.5,0.00707,986.1,0,2.2,1.10543,1.0346,0.567,0.56,1.64
2022-05-27 14:07:56.907553,28950,1.10435,6.1,98.8,0.00722,986.2,0,3.101,1.10543,1.01349,0.906,0.899,2.2
2022-05-27 14:08:27.907630,28954,1.10451,6.1,98.2,0.00719,986.2,0,3.113,1.10543,1.01147,0.983,0.976,2.14
2022-05-27 14:08:58.907680,28952,1.10443,6.1,97.7,0.00714,986.2,0,3.13,1.10543,1.01248,1.008,1.002,2.13
2022-05-27 14:12:22.152738,29008,1.10657,5.9,96.1,0.00694,986.2,0,4.396,1.10454,0.97538,1.823,1.817,2.58
2022-05-27 14:12:55.152780,29005,1.10645,5.8,96.1,0.00694,986.2,0,4.397,1.10409,0.97137,1.754,1.748,2.65
2022-05-27 14:13:28.152857,29006,1.10649,5.8,96.6,0.00695,986.2,0,4.396,1.10409,0.9709,1.756,1.749,2.65
2022-05-27 14:16:53.167841,29062,1.10863,5.9,98.9,0.00714,986.2,0,5.511,1.10454,0.95164,2.265,2.259,3.25
2022-05-27 14:17:26.167905,29061,1.10859,5.8,98.4,0.00709,986.2,0,5.507,1.10409,0.9468,2.274,2.268,3.24
2022-05-27 14:17:59.168019,29062,1.10863,5.8,97.9,0.00705,986.2,0,5.507,1.10409,0.94635,2.335,2.329,3.18
2022-05-27 14:21:19.315620,29112,1.11053,5.6,96.9,0.00687,986.2,0,6.787,1.10319,0.91521,3.127,3.121,3.67
2022-05-27 14:21:53.315683,29109,1.11042,5.5,97.5,0.00689,986.2,0,6.787,1.10275,0.91119,3.019,3.013,3.77
2022-05-27 14:22:27.315759,29111,1.1105,5.5,98.3,0.00694,986.2,0,6.784,1.10275,0.91035,2.981,2.975,3.81
2022-05-27 14:26:17.085002,29185,1.11332,5.7,100.0,0.00714,986.3,0,8.15,1.10364,0.89164,3.793,3.787,4.36
2022-05-27 14:26:54.085105,29187,1.1134,5.7,100.0,0.00714,986.3,0,8.149,1.10364,0.89084,3.822,3.816,4.33
2022-05-27 14:30:29.909467,29287,1.11721,5.6,97.5,0.00693,986.3,0,10.328,1.10319,0.84962,5.535,5.53,4.8
2022-05-27 14:30:59.909516,29282,1.11702,5.6,97.5,0.0069,986.4,0,10.324,1.10319,0.85136,5.508,5.502,4.82
2022-05-27 14:31:29.909604,29283,1.11706,5.5,97.7,0.0069,986.4,0,10.317,1.10275,0.84618,5.47,5.464,4.85
2022-05-27 14:35:08.062927,30212,1.1525,5.6,99.9,0.00707,986.4,0,37.387,1.10319,0.61629,24.542,24.544,12.84
