timestamp,ADC,V,T,rH,aH,P,fanSpeed,CH4Ref,V0,Rs/R0,CH4,CH4LR,variance
2022-05-27 13:58:08.217384,28903,1.10256,6.2,98.2,0.00725,986.1,0,2.147,1.11794,1.19572,0.422,0.422,1.72
2022-05-27 13:58:45.217456,28902,1.10252,6.2,98.4,0.00728,986.1,0,2.147,1.11808,1.19818,0.387,0.387,1.76
2022-05-27 13:59:22.217560,28904,1.1026,6.2,98.2,0.00727,986.1,0,2.148,1.11803,1.19635,0.42,0.42,1.73
2022-05-27 14:02:35.151866,28910,1.10283,6.2,97.5,0.00717,986.1,0,2.2,1.11755,1.18671,0.57,0.57,1.63
2022-05-27 14:03:13.151945,28908,1.10275,6.1,97.0,0.00712,986.1,0,2.2,1.11731,1.18485,0.585,0.585,1.62
2022-05-27 14:03:51.152027,28907,1.10271,6.1,96.5,0.00707,986.1,0,2.2,1.11706,1.18237,0.61,0.61,1.59
2022-05-27 14:07:56.907553,28950,1.10435,6.1,98.8,0.00722,986.2,0,3.101,1.11779,1.16728,1.037,1.037,2.06
2022-05-27 14:08:27.907630,28954,1.10451,6.1,98.2,0.00719,986.2,0,3.113,1.11765,1.16315,1.114,1.114,2.0
2022-05-27 14:08:58.907680,28952,1.10443,6.1,97.7,0.00714,986.2,0,3.13,1.1174,1.1613,1.127,1.127,2.0
2022-05-27 14:12:22.152738,29008,1.10657,5.9,96.1,0.00694,986.2,0,4.396,1.11644,1.11948,2.048,2.048,2.35
2022-05-27 14:12:55.152780,29005,1.10645,5.8,96.1,0.00694,986.2,0,4.397,1.11644,1.12111,2.009,2.009,2.39
2022-05-27 14:13:28.152857,29006,1.10649,5.8,96.6,0.00695,986.2,0,4.396,1.11648,1.12115,2.014,2.014,2.38
2022-05-27 14:16:53.167841,29062,1.10863,5.9,98.9,0.00714,986.2,0,5.511,1.1174,1.10367,2.614,2.614,2.9
2022-05-27 14:17:26.167905,29061,1.10859,5.8,98.4,0.00709,986.2,0,5.507,1.11716,1.10133,2.65,2.65,2.86
2022-05-27 14:17:59.168019,29062,1.10863,5.8,97.9,0.00705,986.2,0,5.507,1.11697,1.09852,2.702,2.702,2.8
2022-05-27 14:21:19.315620,29112,1.11053,5.6,96.9,0.00687,986.2,0,6.787,1.1161,1.06433,3.606,3.606,3.18
2022-05-27 14:21:53.315683,29109,1.11042,5.5,97.5,0.00689,986.2,0,6.787,1.11619,1.0668,3.548,3.548,3.24
2022-05-27 14:22:27.315759,29111,1.1105,5.5,98.3,0.00694,986.2,0,6.784,1.11644,1.06862,3.528,3.528,3.26
2022-05-27 14:26:17.085002,29185,1.11332,5.7,100.0,0.00714,986.3,0,8.15,1.1174,1.04572,4.424,4.424,3.73
2022-05-27 14:26:54.085105,29187,1.1134,5.7,100.0,0.00714,986.3,0,8.149,1.1174,1.04478,4.456,4.456,3.69
2022-05-27 14:30:29.909467,29287,1.11721,5.6,97.5,0.00693,986.3,0,10.328,1.11639,0.99117,6.299,6.299,4.03
2022-05-27 14:30:59.909516,29282,1.11702,5.6,97.5,0.0069,986.4,0,10.324,1.11624,0.99163,6.253,6.253,4.07
2022-05-27 14:31:29.909604,29283,1.11706,5.5,97.7,0.0069,986.4,0,10.317,1.11624,0.99121,6.276,6.276,4.04
2022-05-27 14:35:08.062927,30212,1.1525,5.6,99.9,0.00707,986.4,0,37.387,1.11706,0.72424,26.487,26.487,10.9
2022-05-27 14:35:50.063014,30222,1.15288,5.6,99.4,0.00703,986.4,0,37.378,1.11687,0.7206,26.879,26.879,10.5
2022-05-27 14:39:39.962624,30799,1.17489,5.4,97.2,0.00683,986.3,0,60.839,1.1159,0.60907,46.351,46.351,14.49
2022-05-27 14:40:21.962725,30806,1.17516,5.4,97.3,0.00681,986.3,0,60.771,1.11581,0.60734,46.702,46.702,14.07
2022-05-27 14:44:44.810258,31223,1.19106,5.5,100.0,0.00704,986.3,0,78.896,1.11692,0.5562,62.212,62.212,16.68
2022-05-27 15:06:33.581979,29176,1.11298,10.9,100.0,0.00997,986.1,0,2.09,1.1311,1.20368,1.597,1.597,0.49
2022-05-27 15:07:06.582036,29178,1.11305,10.8,99.6,0.00989,986.1,0,2.09,1.13072,1.19838,1.681,1.681,0.41
2022-05-27 15:07:39.582110,29171,1.11279,10.7,99.2,0.0098,986.1,0,2.092,1.13028,1.19699,1.668,1.668,0.42
2022-05-27 15:11:47.349126,29203,1.11401,10.2,99.4,0.00947,986.2,0,3.168,1.12868,1.16301,2.342,2.342,0.83
2022-05-27 15:12:28.349226,29197,1.11378,10.1,99.8,0.00945,986.1,0,3.167,1.12859,1.16491,2.284,2.284,0.88
2022-05-27 15:16:46.316073,29270,1.11656,9.9,100.0,0.00939,986.1,0,4.613,1.1283,1.12679,3.303,3.303,1.31
2022-05-27 15:21:39.921938,29747,1.13476,10.2,100.0,0.00953,986.1,0,13.644,1.12897,0.94775,10.636,10.636,3.01
