timestamp,ADC,V,T,rH,aH,P,fanSpeed,CH4Ref,V0,Rs/R0,CH4,CH4LR,variance
2022-05-27 13:58:08.217384,28903,1.10256,6.2,98.3,0.00727,986.1,0,2.147,1.10588,1.04228,0.289,0.263,1.88
2022-05-27 14:02:35.151866,28908,1.10275,6.1,97.0,0.00712,986.1,0,2.2,1.10543,1.03408,0.497,0.472,1.73
2022-05-27 14:07:56.907553,28952,1.10443,6.1,98.2,0.00718,986.2,0,3.101,1.10543,1.01248,0.958,0.935,2.17
2022-05-27 14:12:22.152738,29006,1.10649,5.8,96.3,0.00694,986.2,0,4.396,1.10409,0.9709,1.859,1.839,2.56
2022-05-27 14:16:53.167841,29062,1.10863,5.8,98.4,0.00709,986.2,0,5.511,1.10409,0.94635,2.381,2.362,3.15
2022-05-27 14:21:19.315620,29111,1.1105,5.5,97.6,0.0069,986.2,0,6.787,1.10275,0.91035,3.211,3.196,3.59
2022-05-27 14:26:17.085002,29186,1.11336,5.7,100.0,0.00714,986.3,0,8.15,1.10364,0.89124,3.979,3.966,4.18
2022-05-27 14:30:29.909467,29284,1.1171,5.6,97.6,0.00691,986.4,0,10.328,1.10319,0.85063,5.861,5.855,4.47
2022-05-27 14:35:08.062927,30217,1.15269,5.6,99.6,0.00705,986.4,0,37.387,1.10319,0.61538,25.277,25.34,12.05
2022-05-27 14:39:39.962624,30802,1.175,5.4,97.2,0.00682,986.3,0,60.839,1.1023,0.51852,44.626,44.758,16.08
2022-05-27 14:44:44.810258,31223,1.19106,5.5,100.0,0.00704,986.3,0,78.896,1.10275,0.47136,59.275,59.459,19.44
2022-05-27 15:06:33.581979,29175,1.11294,10.8,99.6,0.00989,986.1,0,2.09,1.12649,1.15238,1.599,1.578,0.51
2022-05-27 15:11:47.349126,29200,1.11389,10.1,99.6,0.00946,986.2,0,3.168,1.12336,1.10531,2.269,2.251,0.92
2022-05-27 15:16:46.316073,29270,1.11656,9.9,100.0,0.00939,986.1,0,4.613,1.12246,1.06375,3.226,3.211,1.4
2022-05-27 15:21:39.921938,29747,1.13476,10.2,100.0,0.00953,986.1,0,13.644,1.1238,0.90109,10.413,10.424,3.22
2022-05-27 15:25:28.842921,30096,1.14807,10.5,100.0,0.00972,986.1,0,21.18,1.12515,0.81526,16.813,16.846,4.33
2022-05-27 15:30:00.443931,30160,1.15051,10.6,99.9,0.00977,986.1,0,22.544,1.1256,0.80307,18.075,18.113,4.43
2022-05-27 15:34:37.195106,30252,1.15402,10.0,96.5,0.00913,986.1,0,25.78,1.12291,0.76072,21.72,21.771,4.01
2022-05-27 15:39:24.747808,30407,1.15993,9.5,96.8,0.00883,986.1,0,30.83,1.12067,0.71116,26.418,26.486,4.34
2022-05-27 15:43:31.636778,30769,1.17374,9.0,96.0,0.00846,986.0,0,43.679,1.11843,0.63061,38.241,38.351,5.33
2022-05-27 15:47:57.198138,30960,1.18103,9.0,100.0,0.00884,986.0,0,49.692,1.11843,0.60134,42.62,42.745,6.95
2022-05-27 15:52:34.597059,31306,1.19423,9.4,100.0,0.0091,986.0,0,61.318,1.12022,0.56524,53.647,53.812,7.51
2022-05-27 15:57:01.928539,31611,1.20586,9.9,100.0,0.00939,986.0,0,71.811,1.12246,0.54141,64.01,64.212,7.6
2022-05-27 16:01:53.684903,31882,1.2162,10.4,100.0,0.0097,986.0,0,81.416,1.1247,0.52394,73.532,73.767,7.65
2022-05-27 16:06:31.893232,32163,1.22692,10.9,100.0,0.00998,986.0,0,92.47,1.12694,0.5073,84.299,84.573,7.9
2022-05-27 16:11:43.564653,32304,1.2323,10.8,100.0,0.00994,986.0,0,99.015,1.12649,0.49205,91.315,91.614,7.4
2022-05-27 21:09:30.584466,29747,1.13476,20.7,85.8,0.01546,986.1,0,2.076,1.17085,1.32586,3.503,3.489,-1.41
2022-05-27 21:14:34.835578,29762,1.13533,20.9,93.8,0.01712,986.1,0,2.194,1.17175,1.32712,2.599,2.582,-0.39
2022-05-27 21:18:55.242854,29796,1.13663,21.2,94.6,0.01754,986.1,0,2.524,1.17309,1.32374,2.675,2.657,-0.13
2022-05-27 21:23:26.215443,29964,1.14304,21.4,95.5,0.0179,986.1,0,4.847,1.17399,1.25999,4.23,4.219,0.63
2022-05-27 21:28:13.778176,30458,1.16188,21.6,96.4,0.01828,986.2,0,12.272,1.17489,1.09432,10.071,10.08,2.19
2022-05-27 21:33:25.316461,31132,1.18759,21.7,97.4,0.01866,986.2,0,24.631,1.17533,0.92508,20.339,20.384,4.25
2022-05-27 21:38:01.475919,32484,1.23917,21.9,98.2,0.01898,986.2,0,60.929,1.17623,0.70748,50.605,50.759,10.17
2022-05-27 21:42:51.785181,33296,1.27014,22.0,98.9,0.01927,986.2,0,90.99,1.17668,0.62029,74.817,75.058,15.93
