timestamp,ADC,V,T,rH,aH,P,fanSpeed,V0,Rs/R0,CH4,CH4LR
2022-06-28 12:30:31.090385,29732,1.13419,39.83997,26.09454,0.01326,999.62456,0,1.29347,2.44556,-2.34104,-2.44326
2022-06-28 12:30:32.081475,29731,1.13415,39.83483,26.09476,0.01325,999.72610,0,1.29343,2.44606,-2.34268,-2.44490
2022-06-28 12:30:33.081469,29734,1.13426,39.83997,26.09454,0.01326,999.67941,0,1.29347,2.44387,-2.33615,-2.43833
2022-06-28 12:30:34.081463,29733,1.13422,39.85025,26.08782,0.01326,999.69572,0,1.29354,2.44542,-2.34012,-2.44233
2022-06-28 12:30:35.081476,29731,1.13415,39.85025,26.06266,0.01325,999.69572,0,1.29354,2.44711,-2.34460,-2.44684
2022-06-28 12:30:36.081477,29733,1.13422,39.84511,26.06288,0.01325,999.68756,0,1.29351,2.44507,-2.33890,-2.44110
2022-06-28 12:30:37.081474,29732,1.13419,39.85025,26.04379,0.01324,999.72314,0,1.29354,2.44627,-2.34185,-2.44407
2022-06-28 12:30:38.081477,29735,1.13430,39.85539,26.04986,0.01325,999.67645,0,1.29358,2.44408,-2.33543,-2.43760
2022-06-28 12:30:39.081477,29734,1.13426,39.85025,26.02492,0.01323,999.72314,0,1.29354,2.44457,-2.33665,-2.43884
2022-06-28 12:30:40.081489,29734,1.13426,39.86052,26.00561,0.01323,999.65718,0,1.29362,2.44527,-2.33797,-2.44017
2022-06-28 12:30:41.081494,29736,1.13434,39.86052,25.99303,0.01322,999.65718,0,1.29362,2.44358,-2.33287,-2.43503
2022-06-28 12:30:42.081495,29735,1.13430,39.86052,26.01190,0.01323,999.65718,0,1.29362,2.44443,-2.33563,-2.43780
2022-06-28 12:30:43.081491,29735,1.13430,39.86566,26.02427,0.01324,999.66533,0,1.29366,2.44478,-2.33664,-2.43883
2022-06-28 12:30:44.081478,29733,1.13422,39.87080,26.01147,0.01324,999.70091,0,1.29370,2.44682,-2.34214,-2.44436
2022-06-28 12:30:45.081488,29735,1.13430,39.87594,26.02384,0.01325,999.65422,0,1.29374,2.44548,-2.33827,-2.44046
2022-06-28 12:30:46.081499,29737,1.13438,39.87080,26.00518,0.01323,999.70091,0,1.29370,2.44344,-2.33225,-2.43441
2022-06-28 12:30:47.081501,29736,1.13434,39.87080,25.99260,0.01323,999.64606,0,1.29370,2.44428,-2.33450,-2.43667
2022-06-28 12:30:48.081503,29735,1.13430,39.87080,25.97373,0.01322,999.67349,0,1.29370,2.44513,-2.33664,-2.43882
2022-06-28 12:30:49.081498,29737,1.13438,39.88107,25.95442,0.01321,999.71722,0,1.29378,2.44414,-2.33306,-2.43522
2022-06-28 12:30:50.081503,29737,1.13438,39.88621,25.95420,0.01322,999.69795,0,1.29381,2.44449,-2.33388,-2.43604
2022-06-28 12:30:51.081511,29736,1.13434,39.88621,25.92904,0.01320,999.69795,0,1.29381,2.44533,-2.33591,-2.43809
2022-06-28 12:30:52.081505,29738,1.13441,39.88107,25.92925,0.01320,999.68979,0,1.29378,2.44329,-2.33020,-2.43234
2022-06-28 12:30:53.081516,29736,1.13434,39.89135,25.90995,0.01320,999.76095,0,1.29385,2.44568,-2.33642,-2.43860
2022-06-28 12:30:54.081487,29736,1.13434,39.89135,25.91624,0.01320,999.70610,0,1.29385,2.44568,-2.33652,-2.43871
2022-06-28 12:30:55.081504,29736,1.13434,39.89135,25.90995,0.01320,999.67868,0,1.29385,2.44568,-2.33642,-2.43860
2022-06-28 12:30:56.081498,29736,1.13434,39.89649,25.90344,0.01320,999.71426,0,1.29389,2.44603,-2.33713,-2.43932
2022-06-28 12:30:57.081519,29738,1.13441,39.90676,25.90929,0.01321,999.73056,0,1.29397,2.44504,-2.33396,-2.43613
2022-06-28 12:30:58.081515,29738,1.13441,39.90163,25.90951,0.01320,999.66756,0,1.29393,2.44469,-2.33315,-2.43531
2022-06-28 12:30:59.081517,29739,1.13445,39.90163,25.91580,0.01321,999.66756,0,1.29393,2.44385,-2.33080,-2.43295
2022-06-28 12:31:00.081522,29739,1.13445,39.91190,25.91537,0.01321,999.65644,0,1.29401,2.44455,-2.33243,-2.43459
2022-06-28 12:31:01.081518,29738,1.13441,39.91190,25.90278,0.01321,999.68387,0,1.29401,2.44539,-2.33467,-2.43684
2022-06-28 12:31:02.081518,29740,1.13449,39.92218,25.92122,0.01322,999.75503,0,1.29408,2.44440,-2.33171,-2.43386
2022-06-28 12:31:03.081525,29741,1.13453,39.91704,25.91515,0.01322,999.71945,0,1.29405,2.44321,-2.32834,-2.43047
2022-06-28 12:31:04.081518,29740,1.13449,39.92218,25.92122,0.01322,999.67275,0,1.29408,2.44440,-2.33171,-2.43386
2022-06-28 12:31:05.081533,29741,1.13453,39.92732,25.91471,0.01322,999.68090,0,1.29412,2.44391,-2.32997,-2.43211
2022-06-28 12:31:06.081543,29741,1.13453,39.93245,25.91449,0.01323,999.71648,0,1.29416,2.44426,-2.33079,-2.43293
2022-06-28 12:31:07.081541,29742,1.13457,39.92732,25.88955,0.01321,999.65348,0,1.29412,2.44307,-2.32711,-2.42923
2022-06-28 12:31:08.081538,29740,1.13449,39.92732,25.88955,0.01321,999.76318,0,1.29412,2.44475,-2.33201,-2.43416
2022-06-28 12:31:09.081543,29740,1.13449,39.93245,25.90191,0.01322,999.63420,0,1.29416,2.44510,-2.33303,-2.43519
2022-06-28 12:31:10.081545,29742,1.13457,39.93759,25.89540,0.01322,999.64236,0,1.29420,2.44376,-2.32884,-2.43097
2022-06-28 12:31:11.081549,29741,1.13453,39.93245,25.90191,0.01322,999.71648,0,1.29416,2.44426,-2.33058,-2.43272
2022-06-28 12:31:12.081548,29741,1.13453,39.94273,25.88260,0.01322,999.76022,0,1.29424,2.44496,-2.33190,-2.43405
2022-06-28 12:31:13.081537,29744,1.13464,39.94273,25.87631,0.01322,999.67794,0,1.29424,2.44243,-2.32445,-2.42655
2022-06-28 12:31:14.081560,29742,1.13457,39.94787,25.89496,0.01323,999.71352,0,1.29428,2.44446,-2.33047,-2.43261
2022-06-28 12:31:15.081542,29742,1.13457,39.95300,25.87587,0.01322,999.69424,0,1.29432,2.44481,-2.33098,-2.43312
2022-06-28 12:31:16.081551,29742,1.13457,39.94787,25.86980,0.01322,999.71352,0,1.29428,2.44446,-2.33006,-2.43220
2022-06-28 12:31:17.081556,29742,1.13457,39.94787,25.88238,0.01322,999.71352,0,1.29428,2.44446,-2.33027,-2.43241
2022-06-28 12:31:18.081567,29742,1.13457,39.95300,25.88216,0.01322,999.72167,0,1.29432,2.44481,-2.33108,-2.43323
2022-06-28 12:31:19.081560,29744,1.13464,39.96328,25.88173,0.01323,999.73798,0,1.29439,2.44383,-2.32781,-2.42994
2022-06-28 12:31:20.081567,29745,1.13468,39.95814,25.86307,0.01322,999.72982,0,1.29436,2.44264,-2.32424,-2.42634
2022-06-28 12:31:21.081575,29743,1.13461,39.97356,25.85612,0.01323,999.80914,0,1.29447,2.44537,-2.33148,-2.43363
2022-06-28 12:31:22.081573,29744,1.13464,39.96328,25.85656,0.01322,999.73798,0,1.29439,2.44383,-2.32740,-2.42952
2022-06-28 12:31:23.081577,29745,1.13468,39.97356,25.83095,0.01321,999.69943,0,1.29447,2.44368,-2.32617,-2.42828
2022-06-28 12:31:24.081567,29747,1.13476,39.96842,25.83746,0.01321,999.71870,0,1.29443,2.44165,-2.32055,-2.42262
2022-06-28 12:31:25.081567,29744,1.13464,39.97356,25.84354,0.01322,999.72686,0,1.29447,2.44453,-2.32883,-2.43095
2022-06-28 12:31:26.081579,29744,1.13464,39.97869,25.83073,0.01322,999.78987,0,1.29451,2.44488,-2.32943,-2.43157
2022-06-28 12:31:27.081585,29748,1.13480,39.98383,25.81163,0.01321,999.74316,0,1.29455,2.44186,-2.32014,-2.42220
2022-06-28 12:31:28.081572,29747,1.13476,39.98897,25.82400,0.01322,999.75132,0,1.29459,2.44305,-2.32361,-2.42570
2022-06-28 12:31:29.081564,29745,1.13468,39.98383,25.80534,0.01321,999.74316,0,1.29455,2.44438,-2.32739,-2.42951
2022-06-28 12:31:30.081595,29745,1.13468,39.98897,25.81771,0.01322,999.75132,0,1.29459,2.44473,-2.32841,-2.43054
2022-06-28 12:31:31.081581,29745,1.13468,39.99411,25.80490,0.01321,999.73204,0,1.29463,2.44508,-2.32902,-2.43115
2022-06-28 12:31:32.081592,29747,1.13476,39.99411,25.79232,0.01321,999.75947,0,1.29463,2.44340,-2.32391,-2.42601
2022-06-28 12:31:33.081588,29747,1.13476,39.99411,25.80490,0.01321,999.70461,0,1.29463,2.44340,-2.32412,-2.42621
